Northeast Regional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,,,,,,,,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family , Qualifying ,,Last,Last,,,,,,,,,,,,,,,
, Home ,Rate*, Payment ,Income, Income , Income** ,Composite,Month,Year,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1994.03," 145,000 ",7.23, 707 ,20.4," 42,363 "," 33,936 ",122.3,129.2,121.6,,,,,,,,,,,,,,,
1994.04," 150,100 ",7.52, 722 ,20.8," 42,528 "," 34,656 ",120.2,122.3,121.8,,,,,,,,,,,,,,,
1994.05," 146,400 ",7.63, 728 ,20.9," 42,694 "," 34,944 ",119.7,120.2,125.4,,,,,,,,,,,,,,,
1994.06," 153,200 ",7.33, 724 ,20.7," 42,860 "," 34,752 ",120.8,119.7,120.1,,,,,,,,,,,,,,,
1994.07," 154,500 ",7.51, 739 ,21.1," 42,983 "," 35,472 ",118.7,120.8,121.9,,,,,,,,,,,,,,,
1994.08," 157,500 ",7.49, 751 ,21.3," 43,063 "," 36,048 ",117.4,118.7,122.8,,,,,,,,,,,,,,,
1994.09," 147,200 ",7.49, 716 ,20.3," 43,143 "," 34,368 ",123.4,117.4,128.3,,,,,,,,,,,,,,,
1994.10," 143,500 ",7.64, 708 ,19.9," 43,223 "," 33,984 ",125.4,123.4,129.9,,,,,,,,,,,,,,,
1994.11," 147,200 ",7.67, 715 ,20.1," 43,303 "," 34,320 ",124.7,125.4,126.3,,,,,,,,,,,,,,,
1994.12," 151,200 ",7.93, 735 ,20.5," 43,383 "," 35,280 ",121.7,124.7,127.5,,,,,,,,,,,,,,,
1995.01," 135,100 ",7.84, 725 ,20.2," 43,464 "," 34,800 ",123.6,121.7,129.2,,,,,,,,,,,,,,,
1995.02," 134,000 ",7.83, 727 ,20.2," 43,544 "," 34,896 ",123.5,123.6,129.2,,,,,,,,,,,,,,,
1995.03," 139,300 ",7.81, 719 ,20.0," 43,625 "," 34,512 ",125.2,123.5,122.3,,,,,,,,,,,,,,,
1995.04," 143,500 ",7.70, 702 ,19.5," 43,706 "," 33,696 ",128.4,125.2,120.2,,,,,,,,,,,,,,,
1995.05," 140,400 ",7.48, 687 ,19.0," 43,787 "," 32,976 ",131.4,128.4,119.7,,,,,,,,,,,,,,,
1995.06," 151,500 ",7.42, 722 ,20.0," 43,868 "," 34,656 ",125.3,131.4,120.8,,,,,,,,,,,,,,,
1995.07," 153,300 ",7.48, 731 ,20.2," 44,016 "," 35,088 ",123.9,125.3,118.7,,,,,,,,,,,,,,,
1995.08," 154,700 ",7.66, 749 ,20.6," 44,231 "," 35,952 ",121.2,123.9,117.4,,,,,,,,,,,,,,,
1995.09," 146,500 ",7.46, 711 ,19.5," 44,447 "," 34,128 ",128.0,121.2,123.4,,,,,,,,,,,,,,,
1995.10," 144,400 ",7.37, 694 ,19.0," 44,664 "," 33,312 ",131.4,128.0,125.4,,,,,,,,,,,,,,,
1995.11," 145,700 ",7.36, 686 ,18.8," 44,883 "," 32,928 ",133.0,131.4,124.7,,,,,,,,,,,,,,,
1995.12," 148,900 ",7.00, 661 ,18.1," 45,102 "," 31,728 ",138.4,133.0,121.7,,,,,,,,,,,,,,,
1996.01," 134,600 ",7.10, 671 ,18.3," 45,322 "," 32,208 ",136.9,138.4,123.6,,,,,,,,,,,,,,,
1996.02," 132,100 ",7.12, 669 ,18.1," 45,543 "," 32,112 ",138.2,136.9,123.5,,,,,,,,,,,,,,,
1996.03," 141,800 ",7.52, 711 ,19.1," 45,766 "," 34,128 ",130.6,138.2,125.2,,,,,,,,,,,,,,,
1996.04," 148,000 ",7.68, 722 ,19.4," 45,989 "," 34,656 ",129.2,130.6,128.4,,,,,,,,,,,,,,,
1996.05," 144,500 ",7.60, 716 ,19.1," 46,214 "," 34,368 ",131.0,129.2,131.4,,,,,,,,,,,,,,,
1996.06," 154,700 ",7.81, 766 ,20.3," 46,440 "," 36,768 ",123.1,131.0,125.3,,,,,,,,,,,,,,,
1996.07," 153,600 ",7.62, 743 ,19.6," 46,626 "," 35,664 ",127.5,123.1,123.9,,,,,,,,,,,,,,,
1996.08," 153,500 ",7.58, 737 ,19.4," 46,771 "," 35,376 ",129.0,127.5,121.2,,,,,,,,,,,,,,,
1996.09," 144,700 ",7.69, 719 ,18.8," 46,917 "," 34,512 ",133.1,129.0,128,,,,,,,,,,,,,,,
1996.10," 144,300 ",7.47, 700 ,18.2," 47,064 "," 33,600 ",137.2,133.1,131.4,,,,,,,,,,,,,,,
1996.11," 146,700 ",7.32, 689 ,17.8," 47,211 "," 33,072 ",140.2,137.2,133,,,,,,,,,,,,,,,
1996.12," 152,900 ",7.35, 703 ,18.1," 47,358 "," 33,744 ",137.9,140.2,138.4,,,,,,,,,,,,,,,
1997.01," 139,200 ",7.47, 721 ,18.5," 47,506 "," 34,608 ",135.0,137.9,136.9,,,,,,,,,,,,,,,
1997.02," 135,000 ",7.38, 701 ,17.9," 47,655 "," 33,648 ",139.3,135.0,138.2,,,,,,,,,,,,,,,
1997.03," 142,700 ",7.63, 723 ,18.5," 47,803 "," 34,704 ",135.4,139.3,130.6,,,,,,,,,,,,,,,
1997.04," 152,700 ",7.76, 751 ,19.1," 47,953 "," 36,048 ",130.7,135.4,129.2,,,,,,,,,,,,,,,
1997.05," 150,100 ",7.65, 747 ,19.0," 48,103 "," 35,856 ",131.8,130.7,131,,,,,,,,,,,,,,,
1997.06," 154,900 ",7.47, 742 ,18.8," 48,253 "," 35,616 ",133.3,131.8,123.1,,,,,,,,,,,,,,,
